"sepal_length _mm","petal_length_mm","sepal_width_mm","petal_width_mm","sample_ID"
49,14,30,2,2
47,13,32,2,3
46,15,31,2,4
54,17,39,4,6
54,15,37,2,11
58,12,40,2,15
57,15,44,4,16
57,17,38,3,19
50,16,30,2,26
52,15,35,2,28
55,14,42,2,34
49,15,31,2,35
49,14,36,1,38
51,15,34,2,40
50,13,35,3,41
50,16,35,6,44
51,19,38,4,45
50,14,33,2,50
69,49,31,15,53
55,40,23,13,54
57,45,28,13,56
52,39,27,14,60
60,40,22,10,63
67,44,31,14,66
58,41,27,10,68
62,45,22,15,69
66,44,30,14,76
68,48,28,14,77
67,50,30,17,78
60,45,29,15,79
58,39,27,12,83
60,51,27,16,84
60,45,34,16,86
55,40,25,13,90
58,40,26,12,93
57,42,30,12,96
63,56,29,18,104
76,66,30,21,106
73,63,29,18,108
57,50,25,20,114
64,53,32,23,116
65,55,30,18,117
77,69,26,23,119
69,57,32,23,121
77,67,28,20,123
63,49,27,18,124
72,60,32,18,126
79,64,38,20,132
64,55,31,18,138
60,48,30,18,139
69,54,31,21,140
67,56,31,24,141
68,59,32,23,144
62,54,34,23,149
