"sep_len","sep_wid","pet_len","pet_wid","Sample number"
5.5,3.5,1.3,0.2,37
5.2,3.4,1.4,0.2,29
4.7,3.2,1.6,0.2,30
4.6,3.4,1.4,0.3,7
4.5,2.3,1.3,0.3,42
4.6,3.2,1.4,0.2,48
4.3,3,1.1,0.1,14
4.4,3,1.3,0.2,39
5.3,3.7,1.5,0.2,49
4.4,3.2,1.3,0.2,43
5.1,3.5,1.4,0.3,18
4.8,3,1.4,0.3,46
5.1,3.8,1.6,0.2,47
5.4,3.9,1.3,0.4,17
4.8,3.1,1.6,0.2,31
5.4,3.4,1.5,0.4,32
5.5,2.6,4.4,1.2,91
5.6,3,4.5,1.5,67
5.7,2.9,4.2,1.3,97
6.1,3,4.6,1.4,92
5.1,2.5,3,1.1,99
6.3,2.3,4.4,1.3,88
5.9,3.2,4.8,1.8,71
5.6,2.9,3.6,1.3,65
6.3,3.3,4.7,1.6,57
6.3,2.5,4.9,1.5,73
6.4,2.9,4.3,1.3,75
5.5,2.4,3.8,1.1,81
6.4,3.2,4.5,1.5,52
5,2,3.5,1,61
5.9,3,4.2,1.5,62
5.7,2.6,3.5,1,80
6.5,3.2,5.1,2,111
7.2,3.6,6.1,2.5,110
6.4,2.8,5.6,2.1,129
6.4,2.7,5.3,1.9,112
6.4,2.8,5.6,2.2,133
7.2,3,5.8,1.6,130
5.8,2.7,5.1,1.9,102
6.2,2.8,4.8,1.8,127
5.9,3,5.1,1.8,150
7.4,2.8,6.1,1.9,131
6.5,3,5.8,2.2,105
6.3,3.3,6,2.5,101
6.9,3.1,5.1,2.3,142
6.8,3,5.5,2.1,113
6.3,2.5,5,1.9,147
6.7,3.3,5.7,2.5,145
